Date,PX_LAST,Change,% Change
6/1/2012,107.21,0,0
13/1/2012,112.35,5.14,4.794328887
20/1/2012,113,0.65,0.578549177
27/1/2012,116.26,3.26,2.884955752
3/2/2012,120.64,4.38,3.767417857
10/2/2012,118.88,-1.76,-1.458885942
17/2/2012,119.04,0.16,0.134589502
24/2/2012,119.46,0.42,0.352822581
2/3/2012,119.9,0.44,0.368324125
9/3/2012,119.41,-0.49,-0.408673895
16/3/2012,121.01,1.6,1.33992128
23/3/2012,121.88,0.87,0.718948847
30/3/2012,123.3,1.42,1.165080407
6/4/2012,123.76,0.46,0.373073804
13/4/2012,118.15,-5.61,-4.532967033
20/4/2012,121.97,3.82,3.233178163
27/4/2012,126.04,4.07,3.33688612
4/5/2012,121.83,-4.21,-3.340209457
11/5/2012,126.43,4.6,3.775753099
18/5/2012,120.4,-6.03,-4.769437633
25/5/2012,125.2,4.8,3.986710963
1/6/2012,119.47,-5.73,-4.576677316
8/6/2012,123.57,4.1,3.431823889
15/6/2012,125.18,1.61,1.302905236
22/6/2012,128.85,3.67,2.931778239
29/6/2012,129.955,1.105,0.857586341
6/7/2012,132.27,2.315,1.781385864
13/7/2012,131.75,-0.52,-0.393135254
20/7/2012,132.71,0.96,0.728652751
27/7/2012,138.75,6.04,4.551277221
3/8/2012,132.39,-6.36,-4.583783784
10/8/2012,132.87,0.48,0.362565148
17/8/2012,133.15,0.28,0.210732295
24/8/2012,135.94,2.79,2.095381149
31/8/2012,136.38,0.44,0.323672208
7/9/2012,140.86,4.48,3.284939141
14/9/2012,141.76,0.9,0.638932273
21/9/2012,144.75,2.99,2.109198646
28/9/2012,142.43,-2.32,-1.602763385
5/10/2012,147.15,4.72,3.313908587
12/10/2012,141.7,-5.45,-3.703703704
19/10/2012,139.44,-2.26,-1.594918843
26/10/2012,134.96,-4.48,-3.212851406
2/11/2012,130.89,-4.07,-3.015708358
9/11/2012,130.01,-0.88,-0.672320269
16/11/2012,131.62,1.61,1.23836628
23/11/2012,138.22,6.6,5.014435496
30/11/2012,138.75,0.53,0.383446679
7/12/2012,136.91,-1.84,-1.326126126
14/12/2012,138.06,1.15,0.839967862
21/12/2012,137.95,-0.11,-0.079675503
28/12/2012,134.85,-3.1,-2.247191011
4/1/2013,142.52,7.67,5.687801261
11/1/2013,145.48,2.96,2.076901488
18/1/2013,144.78,-0.7,-0.481165796
25/1/2013,146.01,1.23,0.849564857
1/2/2013,147.77,1.76,1.205396891
8/2/2013,146.53,-1.24,-0.83914191
15/2/2013,145.76,-0.77,-0.525489661
22/2/2013,146.03,0.27,0.185236004
1/3/2013,149.57,3.54,2.424159419
8/3/2013,155.66,6.09,4.071672127
15/3/2013,156,0.34,0.218424772
22/3/2013,156.09,0.09,0.057692308
29/3/2013,159.93,3.84,2.460119162
5/4/2013,159.94,0.01,0.006252736
12/4/2013,169.26,9.32,5.827185194
19/4/2013,172.58,3.32,1.961479381
26/4/2013,172.95,0.37,0.214393325
3/5/2013,176.62,3.67,2.122000578
10/5/2013,180.02,3.4,1.925036802
17/5/2013,182.01,1.99,1.10543273
24/5/2013,180.74,-1.27,-0.697763859
31/5/2013,179.5,-1.24,-0.686068386
7/6/2013,179.19,-0.31,-0.17270195
14/6/2013,175.69,-3.5,-1.953233997
21/6/2013,168.59,-7.1,-4.041208948
28/6/2013,173.88,5.29,3.137789905
5/7/2013,182.22,8.34,4.796411318
12/7/2013,193.03,10.81,5.932389419
19/7/2013,195,1.97,1.020566751
26/7/2013,196.41,1.41,0.723076923
2/8/2013,200.94,4.53,2.306399878
9/8/2013,195.22,-5.72,-2.846620882
16/8/2013,187.84,-7.38,-3.780350374
23/8/2013,193.05,5.21,2.773637138
30/8/2013,193.74,0.69,0.357420357
6/9/2013,201.55,7.81,4.031175803
13/9/2013,207.5,5.95,2.952121062
20/9/2013,209.9,2.4,1.156626506
27/9/2013,210.73,0.83,0.395426394
4/10/2013,212.5,1.77,0.839937361
