,CELG    US Equity,GILD    US Equity,BIIB    US Equity,AMGN    US Equity,REGN    US Equity,INCY    US Equity,ILMN    US Equity,MYL     US Equity,VRTX    US Equity,ALXN    US Equity,BMRN    US Equity,SHPG    US Equity,SGEN    US Equity,ALKS    US Equity,JAZZ    US Equity,TSRO    US Equity,QGEN    US Equity,UTHR    US Equity,EXEL    US Equity,IONS    US Equity,OPK     US Equity,ALNY    US Equity,ACAD    US Equity,PRAH    US Equity,KITE    US Equity,TECH    US Equity,BLUE    US Equity,NKTR    US Equity,MDCO    US Equity,NBIX    US Equity,AKRX    US Equity,CLVS    US Equity,ICPT    US Equity,RARE    US Equity,GWPH    US Equity,CBPO    US Equity,GRFS    US Equity,SAGE    US Equity,ENDP    US Equity,AGIO    US Equity,INCR    US Equity,HZNP    US Equity,IRWD    US Equity,JUNO    US Equity,PTLA    US Equity,LGND    US Equity,AVXS    US Equity,PRTA    US Equity,TBPH    US Equity,HALO    US Equity,PCRX    US Equity,RDUS    US Equity,ONCE    US Equity,SRPT    US Equity,FGEN    US Equity,ARRY    US Equity,SUPN    US Equity,AERI    US Equity,LXRX    US Equity,GBT     US Equity,INVA    US Equity,BPMC    US Equity,MYGN    US Equity,EGRX    US Equity,DERM    US Equity,ACOR    US Equity,RGEN    US Equity,FMI     US Equity,CHRS    US Equity,GHDX    US Equity,ALDR    US Equity,FOLD    US Equity,INSM    US Equity,FPRX    US Equity,XLRN    US Equity,EPZM    US Equity,XNCR    US Equity,MNTA    US Equity,LOXO    US Equity,AIMT    US Equity,IPXL    US Equity,SGYP    US Equity,DEPO    US Equity,DBVT    US Equity,AMRN    US Equity,ESPR    US Equity,EDIT    US Equity,INSY    US Equity,AMAG    US Equity,FLXN    US Equity,VSAR    US Equity,IMMU    US Equity,LMNX    US Equity,PGNX    US Equity,ADRO    US Equity,NVCR    US Equity,ITCI    US Equity,AMPH    US Equity,BGNE    US Equity,RTRX    US Equity,BCRX    US Equity,VNDA    US Equity,MGNX    US Equity,ARDX    US Equity,OMER    US Equity,NLNK    US Equity,ENTA    US Equity,RVNC    US Equity,NH      US Equity,AMRI    US Equity,ANIP    US Equity,XBIT    US Equity,RGNX    US Equity,ATRA    US Equity,ACHN    US Equity,SPPI    US Equity,CYTK    US Equity,SCMP    US Equity,NTLA    US Equity,INO     US Equity,KPTI    US Equity,LBIO    US Equity,CERS    US Equity,PACB    US Equity,MCRB    US Equity,TLGT    US Equity,NSTG    US Equity,RIGL    US Equity,CLDX    US Equity,CRIS    US Equity,PRTK    US Equity,MACK    US Equity,ADMS    US Equity,OTIC    US Equity,AQXP    US Equity,BOLD    US Equity,AVDL    US Equity,ARNA    US Equity,GERN    US Equity,AKBA    US Equity,NVAX    US Equity,PDLI    US Equity,CCXI    US Equity,OMED    US Equity,COLL    US Equity,BLCM    US Equity,ONVO    US Equity,NERV    US Equity,PTCT    US Equity,NK      US Equity,SGMO    US Equity,BRIXX   US Equity,ZGNX    US Equity,CGEN    US Equity,CEMP    US Equity,MNOV    US Equity,TRVN    US Equity,PETX    US Equity,FOMX    US Equity,CLSD    US Equity,ARZ     CN Equity,ARWR    US Equity,OPHT    US Equity
1/6/2012,67.22,42.78,115.5,64.76,65.79,16.3,31.77,21.47,34.05,74.45,36.61,99.06,17.42,16.68,45.39,,14.5,48.52,4.79,7.27,4.9,8.67,1.15,,,68.06,,5.73,18.25,8.17,10.91,14.52,,,,10.5,5.39,,33.8,,,4.08,10.78,,,11.59,,,,9.22,8.5,,,0.821,,2.06,,,1.2,,20.2,,21.19,,,25.68,3.45,,,25.6,,3.81,3.19,,,,,18.51,,,20.2,3.46,5.48,,6.75,,,,18.54,,,3.37,20.61,8.54,,,,,,,2.41,4.56,,,4.1,7.12,,,,2.88,0.4893,,,,7.92,14.61,1.03,4.27,,0.4363,,0.92,2.82,3,,1.11,,8.06,3.12,4.39,8,,,,,,5.7,1.62,1.67,,1.37,6.13,,,,,,,,,3.03,,2.82,5.09,,1.81,,,,,,5.29,
1/13/2012,72.63,44.89,116.03,67.6,78.92,16.87,35.71,21.71,36.81,74.62,34.99,99.52,17.65,18.16,46.7,,15.09,47.01,4.96,7.6,5.05,9.88,1.26,,,67.98,,6.72,18.99,8.61,10.94,14.54,,,,9.69,5.51,,36.05,,,3.55,12.1,,,12.09,,,,9.8,7.99,,,0.94,,2.38,,,1.46,,18.1,,20.68,,,26.61,3.55,,,27.99,,5.01,3.48,,,,,19.26,,,20.17,3.5,6.1,,7.17,,,,17.28,,,3.45,20.63,8.51,,,,,,,2.85,4.73,,,5.53,6.48,,,,2.95,0.5397,,,,12.37,15.17,1.01,4.42,,0.43,,1.15,2.99,3.61,,1.1,,8.16,3.15,4.52,8.68,,,,,,5.76,1.65,1.69,,1.31,6.11,,,,,,,,,3.27,,2.57,5.46,,1.85,,,,,,5.26,
1/20/2012,73.84,47.44,118.14,69.57,78.33,17.28,36.3,21.56,36.31,73.58,35.2,97.35,17.61,18.02,45.98,,15.42,49.26,5,7.9,5.27,10.34,1.48,,,70.41,,6.04,19.09,8.14,10.92,19.9,,,,9.97,6.17,,37.4,,,3.98,13.08,,,12.26,,,,10.72,8.85,,,0.82,,2.41,,,1.37,,18.15,,22.22,,,25.42,3.61,,,27.17,,6.23,5.01,,,,,18.91,,,20,3.48,6.16,,8.26,,,,16.64,,,3.5,19.84,9.26,,,,,,,2.85,5.15,,,5.59,7.07,,,,3.11,0.6799,,,,9.47,15.23,1.03,4.52,,0.4299,,1.05,2.79,3.55,,1.11,,8.29,3.98,4.74,8.06,,,,,,5.52,1.62,1.73,,1.31,6.33,,,,,,,,,3.2,,2.49,5.32,,1.85,,,,,,5.39,
1/27/2012,73.37,48.72,118.56,68.34,85.54,17.92,51.685,21.04,35.98,75.4,35.85,100.17,19.61,19.1,47.98,,16.39,48.95,5.62,8.25,5.27,10.91,1.6,,,69.97,,6.14,19.49,8.78,11.12,19.6,,,,9.62,6.49,,37.73,,,3.74,14.09,,,12.32,,,,10.46,10.04,,,0.92,,2.38,,,1.57,,18.82,,23.29,,,26.29,3.94,,,28.38,,6.48,4.9,,,,,15.19,,,19.05,3.53,6.03,,7.93,,,,16.7,,,3.47,19.94,9.68,,,,,,,3.48,5.08,,,5.82,7.18,,,,3.2,0.6453,,,,10.56,13.995,1.01,4.47,,0.5987,,1.05,2.88,4.36,,1.1,,9.71,4.49,5.18,8.15,,,,,,6.08,1.59,1.96,,1.45,6.4,,,,,,,,,3.3,,2.68,5.47,,1.8,,,,,,4.881,
2/3/2012,73.21,54.695,121.88,69.28,96.86,17.66,51.84,22.44,36.78,78.875,37.53,99.7,19.53,19.15,48.01,,15.91,50.21,6.31,8.8,5.28,13.01,1.77,,,66.3,,7.17,21.9,9.48,12.09,23.81,,,,10.74,6.92,,36.63,,,4.07,14.98,,,13.83,,,,11.5,10.72,,,1,,3.01,,,1.67,,18.595,,23.84,,,26.43,4.14,,,29.34,,6.78,5.35,,,,,16.55,,,22.31,3.65,6.7,,8.79,,,,17.25,,,3.84,20.89,10.03,,,,,,,4.03,5.33,,,5.9,6.97,,,,3.04,0.74,,,,11.73,14.35,1.08,6.24,,0.675,,1.05,3.16,4.83,,1.1,,10.48,4.98,5.01,8.04,,,,,,6.57,1.87,2.075,,1.49,6.48,,,,,,,,,4.55,,2.73,5.89,6.06,2.25,,,,,,5.05,
2/10/2012,71.74,53.75,118.14,67.36,102.08,16.96,53.89,22.8,36.13,83.445,37.21,104.91,18.595,17.98,48.3,,15.15,49.05,6.14,8.33,5.14,12.15,1.8,,,67.71,,6.84,20.75,8.62,12.48,21.9,,,,9.75,6.7,,35.2,,,4.2,15.35,,,14.7,,,,11.135,10.32,,,1.11,,2.66,,,1.705,,16.53,,23.28,,,25.44,4.21,,,26.92,,6.7,4.83,,,,,15.265,,,21.93,4.3,6.49,,8.4,,,,15.85,,,3.68,20.97,9.51,,,,,,,3.84,5.09,,,6.32,7.25,,,,2.97,0.851,,,,9.895,14.1,1.18,6.49,,0.6611,,1.15,3.2,4.47,,1.11,,9.43,5.07,4.77,8.28,,,,,,6.63,1.94,1.995,,1.35,6.39,11.13,,,,,,,,4.24,,2.71,6.12,6,2.064,,,,,,5.2,
2/17/2012,74.66,47,116.45,67.78,103.28,17.57,51.82,23.42,39.24,81,36.2,108.07,17.71,18.38,47.21,,15.5,47.27,5.78,8.49,5.03,12.2,1.79,,,71.21,,7.04,21,8.57,12.31,23.48,,,,10.45,6.66,,35.25,,,3.36,14.79,,,15.22,,,,11.73,10.69,,,1.06,,2.86,,,1.8,,18.54,,23.8,,,25.73,4.21,,,28.39,,6.34,4.59,,,,,15.16,,,23.12,4.23,6.68,,8.57,,,,17.12,,,3.8,22.21,9.58,,,,,,,4.52,4.71,,,6.75,7.55,,,,2.98,0.7863,,,,11.04,13.6,1.06,6.88,,0.6295,,1.2,3.53,4.66,,1.1,,9.65,4.87,4.61,8.62,,,,,,6.96,1.83,2.15,,1.42,6.29,10.45,,,,1.55,,,,5.33,,2.55,6.25,6.37,2.1,,,,,,5.1,
2/24/2012,74.89,45.26,116.39,67.73,103.22,16.94,51.22,23.48,38.39,84.63,35,105.43,17.57,17.29,50.81,,16.02,47.93,5.77,8.92,4.79,13.42,1.76,,,71.38,,6.98,22.04,8.12,12.72,24.49,,,,9.95,6.95,,36.3,,,3.5,14.69,,,14.76,,,,11.66,10.7,,,1.01,,2.8,,,1.82,,18.27,,23.87,,,27.05,4.29,,,28.92,,5.97,4.55,,,,,15.71,,,23.49,4.45,6.73,,8.99,,,,16.85,,,3.63,22.67,10.05,,,,,,,4.31,4.75,,,6.25,8.4,,,,2.9,0.7077,,,,10.72,14.25,1.04,6.81,,0.594,,1.19,3.58,4.3,,1.11,,10.19,3.85,4.5,8.54,,,,,,6.55,1.84,2.02,,1.37,6.45,10.3,,,,1.24,,,,5.52,,2.47,6.14,8.07,2.23,,,,,,5.2194,
3/2/2012,73.73,46.99,118.89,67.73,108.8,17.535,51.35,23.16,40.73,85.26,35.39,105.39,18.08,17.27,51.9,,15.15,48.07,5.6,8.95,4.83,12.51,1.59,,,70.74,,7.67,21.31,7.76,12.87,23.55,,,,9.51,6.92,,37.24,,,3.44,14.07,,,14.78,,,,11.29,10.52,,,1.02,,2.86,,,1.58,,17.62,,24.37,,,26.58,4.69,,,29.68,,5.86,3.9,,,,,14.6,,,23.03,4.46,6.16,,7.92,,,,15.99,,,3.46,22.4,9.38,,,,,,,4.69,4.49,,,7.89,8.68,,,,2.75,0.76,,,,10.27,13.12,1.05,7.02,,0.616,,1.17,3.57,3.64,,1.18,,9.71,3.77,4.41,8.02,,,,,,6.63,1.79,1.94,,1.29,6.575,10.34,,,,1.8,,,,5.12,,2.31,6.09,7.5,2.41,,,,,,5.386,
3/9/2012,75.18,46.09,120.61,68.01,107.21,17.16,50.12,22.97,41.79,84.73,34.37,105.66,17.93,17.21,48.67,,15.08,46.85,5.26,8.31,4.93,12.18,1.6,,,70.58,,7.56,20.77,7.99,11.92,22.04,,,,9.15,7.1,,37.28,,,3.5,13.51,,,15.8,,,,11.39,11.15,,,1.07,,3.05,,,1.71,,18.01,,24.68,,,25.84,4.85,,,30.99,,5.73,3.96,,,,,15.07,,,23.4,4.24,6.08,,7.35,,,,16.37,,,3.54,22.69,9.33,,,,,,,5.59,4.76,,,8.27,9.1,,,,2.87,0.7419,,,,10.82,12.76,1.18,7.39,,0.63,,1.15,3.73,3.61,,1.12,,9.02,3.9,4.6,8.5,,,,,,6.93,1.74,1.84,,1.29,6.13,11.2,,,,1.9,,,,4.95,,2.03,6.02,7.16,2.58,,,,,,5.5401,
