,CELG    US Equity,GILD    US Equity,BIIB    US Equity,AMGN    US Equity,REGN    US Equity,INCY    US Equity,ILMN    US Equity,MYL     US Equity,VRTX    US Equity,ALXN    US Equity,BMRN    US Equity,SHPG    US Equity,SGEN    US Equity,ALKS    US Equity,JAZZ    US Equity,TSRO    US Equity,QGEN    US Equity,UTHR    US Equity,EXEL    US Equity,IONS    US Equity,OPK     US Equity,ALNY    US Equity,ACAD    US Equity,PRAH    US Equity,KITE    US Equity,TECH    US Equity,BLUE    US Equity,NKTR    US Equity,MDCO    US Equity,NBIX    US Equity,AKRX    US Equity,CLVS    US Equity,ICPT    US Equity,RARE    US Equity,GWPH    US Equity,CBPO    US Equity,GRFS    US Equity,SAGE    US Equity,ENDP    US Equity,AGIO    US Equity,INCR    US Equity,HZNP    US Equity,IRWD    US Equity,JUNO    US Equity,PTLA    US Equity,LGND    US Equity,AVXS    US Equity,PRTA    US Equity,TBPH    US Equity,HALO    US Equity,PCRX    US Equity,RDUS    US Equity,ONCE    US Equity,SRPT    US Equity,FGEN    US Equity,ARRY    US Equity,SUPN    US Equity,AERI    US Equity,LXRX    US Equity,GBT     US Equity,INVA    US Equity,BPMC    US Equity,MYGN    US Equity,EGRX    US Equity,DERM    US Equity,ACOR    US Equity,RGEN    US Equity,FMI     US Equity,CHRS    US Equity,GHDX    US Equity,ALDR    US Equity,FOLD    US Equity,INSM    US Equity,FPRX    US Equity,XLRN    US Equity,EPZM    US Equity,XNCR    US Equity,MNTA    US Equity,LOXO    US Equity,AIMT    US Equity,IPXL    US Equity,SGYP    US Equity,DEPO    US Equity,DBVT    US Equity,AMRN    US Equity,ESPR    US Equity,EDIT    US Equity,INSY    US Equity,AMAG    US Equity,FLXN    US Equity,VSAR    US Equity,IMMU    US Equity,LMNX    US Equity,PGNX    US Equity,ADRO    US Equity,NVCR    US Equity,ITCI    US Equity,AMPH    US Equity,BGNE    US Equity,RTRX    US Equity,BCRX    US Equity,VNDA    US Equity,MGNX    US Equity,ARDX    US Equity,OMER    US Equity,NLNK    US Equity,ENTA    US Equity,RVNC    US Equity,NH      US Equity,AMRI    US Equity,ANIP    US Equity,XBIT    US Equity,RGNX    US Equity,ATRA    US Equity,ACHN    US Equity,SPPI    US Equity,CYTK    US Equity,SCMP    US Equity,NTLA    US Equity,INO     US Equity,KPTI    US Equity,LBIO    US Equity,CERS    US Equity,PACB    US Equity,MCRB    US Equity,TLGT    US Equity,NSTG    US Equity,RIGL    US Equity,CLDX    US Equity,CRIS    US Equity,PRTK    US Equity,MACK    US Equity,ADMS    US Equity,OTIC    US Equity,AQXP    US Equity,BOLD    US Equity,AVDL    US Equity,ARNA    US Equity,GERN    US Equity,AKBA    US Equity,NVAX    US Equity,PDLI    US Equity,CCXI    US Equity,OMED    US Equity,COLL    US Equity,BLCM    US Equity,ONVO    US Equity,NERV    US Equity,PTCT    US Equity,NK      US Equity,SGMO    US Equity,BRIXX   US Equity,ZGNX    US Equity,CGEN    US Equity,CEMP    US Equity,MNOV    US Equity,TRVN    US Equity,PETX    US Equity,FOMX    US Equity,CLSD    US Equity,ARZ     CN Equity,ARWR    US Equity,OPHT    US Equity
1/6/2012,-0.5621,4.5199,4.9523,0.8566,18.6902,8.5943,4.2323,0.0466,2.5294,4.1259,6.4863,-4.6583,4.2178,-3.9171,17.4994,,4.9964,2.6878,1.1616,0.8322,0,6.3804,6.4815,,,-0.293,,2.4129,-2.0923,-3.8824,-1.8885,3.0518,,,,0.3824,-2.5316,,-2.1141,,,2,-9.9415,,,-2.3589,,,,-3.0494,-1.7341,,,10.2013,,-4.6296,,,-6.9767,,-8.5973,,1.1939,,,7.7181,-0.5764,,,0.8271,,10.7558,4.5902,,,,,6.4405,,,0.1487,-1.4245,5.7915,,-9.8798,,,,-1.9566,,,1.2012,-2.9204,0,,,,,,,-2.4291,-4.2017,,,3.7975,1.1364,,,,-1.7065,-2.5517,,,,3.937,-0.1367,7.2917,-3.6117,,1.9422,,-8,0.7143,7.1429,,-3.4783,,2.1546,20,-6.1966,2.1711,,,,,,9.405,-13.369,12.8378,,8.7302,-1.129,,,,,,,,,6.6901,,27.027,2.8283,,6.4706,,,,,,26.253,
1/13/2012,8.0482,4.9322,0.4589,4.3854,19.9574,3.4969,12.4016,1.1178,8.1057,0.2283,-4.425,0.4644,1.3203,8.8729,2.8861,,4.069,-3.1121,3.5491,4.5392,3.0612,13.9562,9.5652,,,-0.1175,,17.2775,4.0548,5.3856,0.275,0.1377,,,,-7.7143,2.2263,,6.6568,,,-12.9902,12.2449,,,4.3141,,,,6.2907,-6,,,14.4945,,15.534,,,21.6667,,-10.396,,-2.4068,,,3.6215,2.8986,,,9.3359,,31.4961,9.0909,,,,,4.0519,,,-0.1485,1.1561,11.3139,,6.2222,,,,-6.7961,,,2.3739,0.097,-0.3513,,,,,,,18.2573,3.7281,,,34.878,-8.9888,,,,2.4306,10.2951,,,,56.1869,3.833,-1.9417,3.5129,,-1.4468,,25,6.0284,20.3333,,-0.9009,,1.2407,0.9615,2.9613,8.5,,,,,,1.0526,1.8519,1.1976,,-4.3796,-0.3263,,,,,,,,,7.9208,,-8.8652,7.2692,,2.2099,,,,,,-0.5671,
1/20/2012,1.666,5.6806,1.8185,2.9142,-0.7476,2.4303,1.6522,-0.6909,-1.3583,-1.3937,0.6002,-2.1805,-0.2266,-0.7709,-1.5418,,2.1869,4.7862,0.8065,3.9474,4.3564,4.6559,17.4603,,,3.5746,,-10.119,0.5266,-5.4588,-0.1828,36.8638,,,,2.8896,11.9782,,3.7448,,,12.1127,8.0992,,,1.4061,,,,9.3878,10.7635,,,-12.766,,1.2605,,,-6.1644,,0.2762,,7.4468,,,-4.472,1.6901,,,-2.9296,,24.3513,43.9655,,,,,-1.8172,,,-0.8428,-0.5714,0.9836,,15.2022,,,,-3.7037,,,1.4493,-3.8294,8.8132,,,,,,,0,8.8795,,,1.085,9.1049,,,,5.4237,25.9757,,,,-23.4438,0.3955,1.9802,2.2624,,-0.0291,,-8.6957,-6.689,-1.662,,0.9091,,1.5931,26.3492,4.8673,-7.1429,,,,,,-4.1667,-1.8182,2.3669,,0,3.6007,,,,,,,,,-2.1407,,-3.1128,-2.5641,,0,,,,,,2.4715,
1/27/2012,-0.6365,2.6981,0.3555,-1.768,9.2046,3.7037,42.3829,-2.4119,-0.9088,2.4735,1.8466,2.8968,11.3572,5.9933,4.3497,,6.2905,-0.6293,12.4,4.4304,0,5.5126,8.1081,,,-0.6249,,1.6556,2.0953,7.8624,1.8315,-1.5075,,,,-3.5105,5.1864,,0.8824,,,-6.0302,7.7217,,,0.4894,,,,-2.4254,13.4463,,,12.1951,,-1.2448,,,14.5985,,3.6915,,4.8155,,,3.4225,9.1413,,,4.4534,,4.0128,-2.1956,,,,,-19.6721,,,-4.75,1.4368,-2.1104,,-3.9952,,,,0.3606,,,-0.8571,0.504,4.5356,,,,,,,22.1053,-1.3592,,,4.1145,1.5559,,,,2.8939,-5.0837,,,,11.51,-8.109,-1.9417,-1.1062,,39.2701,,0,3.2258,22.8169,,-0.9009,,17.1291,12.8141,9.2827,1.1166,,,,,,10.1449,-1.8519,13.2948,,10.687,1.1058,,,,,,,,,3.125,,7.6305,2.8195,,-2.7027,,,,,,-9.4434,
2/3/2012,-0.2181,12.264,2.8003,1.3755,13.2336,-1.4509,0.2999,6.654,2.2235,4.6088,4.6862,-0.4692,-0.408,0.2618,0.0625,,-2.9286,2.5741,12.2776,6.6667,0.1898,19.2484,10.625,,,-5.2451,,16.7752,12.3653,7.9727,8.723,21.4796,,,,11.6424,6.6256,,-2.9155,,,8.8235,6.3165,,,12.2565,,,,9.9426,6.7729,,,8.6957,,26.4706,,,6.3694,,-1.1955,,2.3615,,,0.5325,5.0761,,,3.3827,,4.6296,9.1837,,,,,8.9533,,,17.1129,3.3994,11.1111,,10.8449,,,,3.2934,,,10.6628,4.7643,3.6157,,,,,,,15.8046,4.9213,,,1.3746,-2.9248,,,,-5,14.6731,,,,11.0795,2.5366,6.9307,39.5973,,12.7466,,0,9.7222,10.7798,,0,,7.93,10.9131,-3.2819,-1.3497,,,,,,8.0592,17.6101,5.8673,,2.7586,1.25,,,,,,,,,37.8788,,1.8657,7.6782,,25,,,,,,3.4624,
2/10/2012,-2.0079,-1.7278,-3.0686,-2.7714,5.3892,-3.9638,3.9545,1.6043,-1.7673,5.794,-0.8527,5.2257,-4.7875,-6.1097,0.604,,-4.7769,-2.3103,-2.6941,-5.3409,-2.6515,-6.6103,1.6949,,,2.1267,,-4.6025,-5.2511,-9.0717,3.2258,-8.0218,,,,-9.2179,-3.1792,,-3.9039,,,3.1941,2.47,,,6.2907,,,,-3.1739,-3.7313,,,11,,-11.6279,,,2.0958,,-11.1051,,-2.349,,,-3.7457,1.6908,,,-8.2481,,-1.1799,-9.7196,,,,,-7.7644,,,-1.7033,17.8082,-3.1343,,-4.4369,,,,-8.1159,,,-4.1667,0.383,-5.1844,,,,,,,-4.7146,-4.5028,,,7.1186,4.0172,,,,-2.3026,15,,,,-15.6436,-1.7422,9.2593,4.0064,,-2.0556,,9.5238,1.2658,-7.4534,,0.9091,,-10.0191,1.8072,-4.7904,2.9851,,,,,,0.9132,3.7433,-3.8554,,-9.396,-1.3889,,,,,,,,,-6.8132,,-0.7326,3.9049,-0.9901,-8.2667,,,,,,2.9703,
2/17/2012,4.0703,-12.5581,-1.4305,0.6235,1.1755,3.5967,-3.8412,2.7193,8.6078,-2.9301,-2.7143,3.0121,-4.7593,2.2247,-2.2567,,2.3102,-3.629,-5.8632,1.9208,-2.1401,0.4115,-0.5556,,,5.1691,,2.924,1.2048,-0.58,-1.3622,7.2146,,,,7.1795,-0.597,,0.142,,,-20,-3.6482,,,3.5374,,,,5.3435,3.5853,,,-4.5045,,7.5188,,,5.5718,,12.1597,,2.2337,,,1.1399,0,,,5.4606,,-5.3731,-4.9689,,,,,-0.6878,,,5.4264,-1.6279,2.9276,,2.0238,,,,8.0126,,,3.2609,5.9132,0.7361,,,,,,,17.7083,-7.4656,,,6.8038,4.1379,,,,0.3367,-7.6014,,,,11.5715,-3.5461,-10.1695,6.0092,,-4.7835,,4.3478,10.3125,4.2506,,-0.9009,,2.333,-3.9448,-3.3543,4.1063,,,,,,4.9774,-5.6701,7.7694,,5.1852,-1.5649,-6.1096,,,,,,,,25.7075,,-5.9041,2.1242,6.1667,1.7442,,,,,,-1.9231,
2/24/2012,0.3081,-3.7021,-0.0515,-0.0738,-0.0581,-3.5857,-1.1579,0.2562,-2.1662,4.4815,-3.3149,-2.4429,-0.7905,-5.9304,7.6255,,3.3548,1.3962,-0.173,5.0648,-4.7714,10,-1.676,,,0.2387,,-0.8523,4.9524,-5.2509,3.3306,4.3015,,,,-4.7847,4.3544,,2.9787,,,4.1667,-0.6761,,,-3.0223,,,,-0.5968,0.0935,,,-4.717,,-2.0979,,,1.1111,,-1.4563,,0.2941,,,5.1302,1.9002,,,1.8669,,-5.836,-0.8715,,,,,3.628,,,1.6003,5.2009,0.7485,,4.9008,,,,-1.5771,,,-4.4737,2.0711,4.9061,,,,,,,-4.646,0.8493,,,-7.4074,11.2583,,,,-2.6846,-9.9992,,,,-2.8986,4.7794,-1.8868,-1.0174,,-5.6394,,-0.8333,1.4164,-7.7253,,0.9091,,5.5959,-20.9446,-2.3861,-0.9281,,,,,,-5.8908,0.5464,-6.0465,,-3.5211,2.5437,-1.4354,,,,-20,,,,3.5647,,-3.1373,-1.76,26.6876,6.1905,,,,,,2.3407,
3/2/2012,-1.5489,3.8224,2.148,0,5.4059,3.5124,0.2538,-1.3629,6.0953,0.7444,1.1143,-0.0379,2.9027,-0.1157,2.1452,,-5.4307,0.2921,-2.9463,0.3363,0.8351,-6.7809,-9.6591,,,-0.8966,,9.8854,-3.3122,-4.4335,1.1792,-3.8383,,,,-4.4221,-0.4317,,2.5895,,,-1.7143,-4.2206,,,0.1355,,,,-3.1732,-1.6822,,,0.9901,,2.1429,,,-13.1868,,-3.5577,,2.0947,,,-1.7375,9.324,,,2.6279,,-1.8425,-14.2857,,,,,-7.0656,,,-1.9583,0.2247,-8.4695,,-11.9021,,,,-5.1039,,,-4.6832,-1.191,-6.6667,,,,,,,8.8167,-5.4737,,,26.24,3.3333,,,,-5.1724,7.392,,,,-4.1978,-7.9298,0.9615,3.0837,,3.7037,,-1.6807,-0.2793,-15.3488,,6.3063,,-4.7105,-2.0779,-2,-6.089,,,,,,1.2214,-2.7174,-3.9604,,-5.8394,1.938,0.3883,,,,45.1613,,,,-7.2464,,-6.4777,-0.8143,-7.0632,8.0717,,,,,,3.1924,
3/9/2012,1.9666,-1.9153,1.4467,0.4134,-1.4614,-2.1386,-2.3953,-0.8204,2.6025,-0.6216,-2.8822,0.2562,-0.8296,-0.3474,-6.2235,,-0.462,-2.538,-6.0714,-7.1508,2.0704,-2.6379,0.6289,,,-0.2262,,-1.4342,-2.534,2.9639,-7.3815,-6.4119,,,,-3.7855,2.6012,,0.1074,,,1.7442,-3.9801,,,6.9012,,,,0.8857,5.9886,,,4.902,,6.6434,,,8.2278,,2.2134,,1.2721,,,-2.784,3.4115,,,4.4137,,-2.2184,1.5385,,,,,3.2192,,,1.6066,-4.9327,-1.2987,,-7.197,,,,2.3765,,,2.3121,1.2946,-0.533,,,,,,,19.1898,6.0134,,,4.8162,4.8387,,,,4.3636,-2.3849,,,,5.3554,-2.7439,12.381,5.2707,,2.2727,,-1.7094,4.4818,-0.8242,,-5.0847,,-7.1061,3.4483,4.3084,5.985,,,,,,4.5249,-2.7933,-5.1546,,0,-6.7681,8.3172,,,,5.5556,,,,-3.3203,,-12.1212,-1.1494,-4.5333,7.0539,,,,,,2.8616,
