,1/6/2012,1/13/2012,1/20/2012,1/27/2012,2/3/2012,2/10/2012,2/17/2012,2/24/2012,3/2/2012,3/9/2012,3/16/2012,3/23/2012,3/30/2012,4/6/2012,4/13/2012,4/20/2012,4/27/2012,5/4/2012,5/11/2012,5/18/2012,5/25/2012,6/1/2012,6/8/2012,6/15/2012,6/22/2012,6/29/2012,7/6/2012,7/13/2012,7/20/2012,7/27/2012,8/3/2012,8/10/2012,8/17/2012,8/24/2012,8/31/2012,9/7/2012,9/14/2012,9/21/2012,9/28/2012,10/5/2012,10/12/2012,10/19/2012,10/26/2012,11/2/2012,11/9/2012,11/16/2012,11/23/2012,11/30/2012,12/7/2012,12/14/2012,12/21/2012,12/28/2012,1/4/2013,1/11/2013,1/18/2013,1/25/2013,2/1/2013,2/8/2013,2/15/2013,2/22/2013,3/1/2013,3/8/2013,3/15/2013,3/22/2013,3/29/2013,4/5/2013,4/12/2013,4/19/2013,4/26/2013,5/3/2013,5/10/2013,5/17/2013,5/24/2013,5/31/2013,6/7/2013,6/14/2013,6/21/2013,6/28/2013,7/5/2013,7/12/2013,7/19/2013,7/26/2013,8/2/2013,8/9/2013,8/16/2013,8/23/2013,8/30/2013,9/6/2013,9/13/2013,9/20/2013,9/27/2013,10/4/2013,10/11/2013,10/18/2013,10/25/2013,11/1/2013,11/8/2013,11/15/2013,11/22/2013,11/29/2013,12/6/2013,12/13/2013,12/20/2013,12/27/2013,1/3/2014,1/10/2014,1/17/2014,1/24/2014,1/31/2014,2/7/2014,2/14/2014,2/21/2014,2/28/2014,3/7/2014,3/14/2014,3/21/2014,3/28/2014,4/4/2014,4/11/2014,4/18/2014,4/25/2014,5/2/2014,5/9/2014,5/16/2014,5/23/2014,5/30/2014,6/6/2014,6/13/2014,6/20/2014,6/27/2014,7/4/2014,7/11/2014,7/18/2014,7/25/2014,8/1/2014,8/8/2014,8/15/2014,8/22/2014,8/29/2014,9/5/2014,9/12/2014,9/19/2014,9/26/2014,10/3/2014,10/10/2014,10/17/2014,10/24/2014,10/31/2014,11/7/2014,11/14/2014,11/21/2014,11/28/2014,12/5/2014,12/12/2014,12/19/2014,12/26/2014,1/2/2015,1/9/2015,1/16/2015,1/23/2015,1/30/2015,2/6/2015,2/13/2015,2/20/2015,2/27/2015,3/6/2015,3/13/2015,3/20/2015,3/27/2015,4/3/2015,4/10/2015,4/17/2015,4/24/2015,5/1/2015,5/8/2015,5/15/2015,5/22/2015,5/29/2015,6/5/2015,6/12/2015,6/19/2015,6/26/2015,7/3/2015,7/10/2015,7/17/2015,7/24/2015,7/31/2015,8/7/2015,8/14/2015,8/21/2015,8/28/2015,9/4/2015,9/11/2015,9/18/2015,9/25/2015,10/2/2015,10/9/2015,10/16/2015,10/23/2015,10/30/2015,11/6/2015,11/13/2015,11/20/2015,11/27/2015,12/4/2015,12/11/2015,12/18/2015,12/25/2015,1/1/2016,1/8/2016,1/15/2016,1/22/2016,1/29/2016,2/5/2016,2/12/2016,2/19/2016,2/26/2016,3/4/2016,3/11/2016,3/18/2016,3/25/2016,4/1/2016,4/8/2016,4/15/2016,4/22/2016,4/29/2016
CELG    US Equity,-0.5621,8.0482,1.666,-0.6365,-0.2181,-2.0079,4.0703,0.3081,-1.5489,1.9666,0.5587,1.627,0.8981,2.7477,-1.6698,0.9959,-7.2314,-4.8651,1.4038,-3.8,1.1747,-5.1814,-0.4439,1.722,-6.847,4.1051,0.9507,0.772,1.7619,6.2933,-1.8414,3.8095,-3.9338,4.2396,0,4.7196,1.1002,1.3111,-1.1259,5.0916,-2.3291,-4.1571,0.0532,-2.8723,-2.1084,3.958,5.6236,0.1019,0.1145,0.8643,0.4284,-2.4718,5.6092,17.3103,3.8733,-0.2699,1.684,-1.2914,-1.3582,2.9159,3.9056,5.4346,0.9339,0.6495,2.4573,0.4486,5.6429,-0.5203,-1.6509,1.0803,4.7846,-2.0006,-1.8653,0.8729,-2.6203,-0.872,-4.5828,2.7131,4.7017,9.8628,0.9884,5.9239,2.369,-3.5833,-6.7432,4.3626,1.2367,4.9936,1.7078,0.2529,3.171,1.7205,-2.607,4.8182,-2.996,-2.8477,-1.5763,1.4706,8.0868,-0.9551,2.8806,-0.9193,1.5646,0.8658,0.5209,0,-1.6312,-3.4842,-5.7623,3.2581,4.4939,-1.8056,-0.1367,-2.6065,-4.5669,-3.3532,-3.5388,-1.3712,-0.3494,3.3674,0.3887,3.759,-0.4953,0.4432,1.9074,1.9317,5.4107,-0.8183,7.1692,-49.3759,3.9055,-1.1088,-4.6306,2.4688,-0.5851,-0.1616,3.5776,2.2488,3.711,-1.2945,-2.4203,2.5459,0.65,0.794,-4.5006,-3.085,17.1584,3.7292,-0.5976,-2.2546,3.9885,5.0739,0.387,0.3154,2.3496,-3.2685,0.15,0.1321,7.1611,1.7076,-3.8179,-0.3441,-2.4168,6.5154,-1.5393,-2.8799,-0.2542,9.1481,-7.642,-3.6822,2.4145,-3.0751,4.618,-6.8739,2.4062,2.0493,0.4847,-1.4213,-3.2506,0.5419,5.3,0.5972,1.3569,-0.5689,13.1942,0.2825,-2.7057,-2.019,0.4977,-7.8846,4.1915,-5.3612,5.6052,-1.089,-11.605,7.4269,0.8073,0.426,1.8663,2.1902,-4.8651,-7.9236,5.6005,-0.7224,-2.0676,-1.8123,1.6427,10.8952,-1.9486,-9.0013,-5.4322,5.5793,-7.8026,-2.4222,4.6583,0.1562,0.7407,-0.832,-0.6438,-3.0339,1.8023,0.6465,5.0104,1.0164,2.9625,-6.4332
GILD    US Equity,4.5199,4.9322,5.6806,2.6981,12.264,-1.7278,-12.5581,-3.7021,3.8224,-1.9153,1.3886,0.2568,4.2903,-2.2513,-4.7111,12.0633,2.2745,-3.6235,3.1231,-3.6651,1.1013,-3.6047,1.993,1.3094,0.4573,1.5044,-0.624,0.4121,3.7327,4.5592,2.4685,-0.1758,-0.0352,0.9515,0.6982,2.7214,4.6574,9.2551,-2.1104,4.6736,-2.146,-1.987,0.7208,-0.0895,-2.9846,14.4439,2.3118,-1.4714,-1.4467,0.4397,-1.9666,-0.5521,4.6234,3.1106,0.2561,1.3797,-48.8911,0.8383,1.7115,2.0433,2.3557,4.557,-0.5723,0.7527,7.5368,-3.208,9.6263,2.3878,-3.3666,7.3375,-4.116,6.4675,-0.8703,-2.3831,-2.9148,-1.2516,-6.5097,4.9969,3.9984,7.5375,4.8152,4.1098,-1.3105,-4.1134,-3.8845,4.797,1.0563,1.4103,3.9431,0.5194,-0.5011,-0.7869,-0.5552,8.8052,2.1551,1.8513,-5.0726,3.7405,6.267,0.7271,-1.0961,-3.5005,4.5658,-0.2813,-0.1746,0.74,4.7148,2.8316,0.0372,-2.3559,3.1238,1.6993,0.2422,-3.8773,-5.6924,-3.9707,-4.8841,5.3246,-8.5457,6.0124,5.5714,5.1556,2.638,1.3039,0.1733,0.3336,1.453,-2.0269,0.5946,2.1429,5.9802,0.9443,0.5183,0.7289,1.8477,1.0383,7.6149,4.4929,3.4629,-2.0454,-1.6135,2.2188,2.2839,-1.7162,-2.6192,-2.8728,9.8859,1.1652,-4.9554,-4.124,-1.4501,-0.2585,4.2564,-0.4398,4.1487,-13.5178,1.1942,7.6915,-1.4676,4.7959,-0.6727,-7.0114,4.5343,0.6968,0.8966,-1.6614,-2.1609,2.6905,-1.2611,-2.5446,3.3933,-0.3832,2.2835,1.2681,-1.1047,5.248,2.2049,0.5013,1.5053,3.2468,1.8188,-0.2504,-3.7322,-1.13,3.974,-4.5916,4.458,-2.9017,1.0136,-8.8841,2.326,-5.3071,7.4172,-1.0855,-7.654,-1.8574,2.4115,2.1659,5.018,0.1296,0.1942,-5.3258,3.8705,1.3704,-3.6389,-3.882,1.5695,1.9488,-2.3074,-4.6843,-4.7797,-0.0109,-9.6156,2.5783,5.0505,-2.2361,0.7548,-1.0102,2.7978,0.6916,1.1632,3.0661,2.0931,2.2895,3.7033,-13.4602
BIIB    US Equity,4.9523,0.4589,1.8185,0.3555,2.8003,-3.0686,-1.4305,-0.0515,2.148,1.4467,-0.4726,0.7664,4.1667,2.0794,-2.5501,1.5079,4.6609,-1.6446,4.3827,-3.7525,-0.0152,-3.6713,5.3578,4.8607,1.2356,1.8626,-1.3298,1.5092,-1.6596,5.1051,-2.9504,0.3068,-0.2852,1.3371,-0.2993,4.0317,1.141,0.2172,-3.4708,2.2251,-3.4944,-1.053,-1.8675,-3.1624,-0.2601,2.3078,6.1133,-0.5205,1.4723,-0.0231,-0.886,-2.5749,-0.0822,-1.4665,0.3408,1.3307,7.5923,4.5391,2.6149,-2.572,2.6156,2.1814,2.5525,0.6901,8.2124,0.3593,7.0871,-1.8067,5.077,2.4627,-2.5725,6.3925,3.6985,0.9565,-5.2507,-5.7906,-6.0927,8.1005,2.9972,2.1159,1.7363,-3.0573,2.0293,-6.7659,-2.5712,2.1702,0.7759,5.7084,4.2322,5.7177,-1.334,-1.8463,-2.2888,4.3032,3.0036,-3.6312,-2.6368,3.5489,16.5352,1.8745,-0.0241,-5.3558,2.913,-2.1776,0.083,7.8983,-0.6114,2.0573,2.9776,0.9276,4.0407,5.7327,-1.8524,-3.5018,1.1376,-4.1986,-7.6633,-1.989,-4.9502,6.0365,-1.628,-1.3296,1.6453,1.6292,2.88,6.5597,-0.5699,-2.3839,3.1002,-0.4568,4.0927,-2.6967,-5.6235,10.3091,-1.6754,-1.7524,5.6843,-0.73,0.903,-3.6614,-2.1454,1.809,1.306,-1.9338,-3.6534,-2.675,4.8776,-0.1834,-0.1028,-4.7763,-0.6155,1.3639,10.7836,1.062,4.6968,-5.0656,-0.1139,0.0965,3.0408,1.3551,8.8468,3.2994,-2.5721,4.1848,0.3774,1.9629,-1.0248,15.1518,-9.6874,-4.0547,3.2029,-1.4589,-4.2271,-3.856,3.1614,-1.8046,1.9016,-0.4239,-2.2998,0.2346,5.7309,-0.5644,-1.0887,-3.97,4.232,-25.8563,6.2494,-3.0679,1.1683,-5.4285,2.7229,-0.4709,4.3373,-0.222,-9.4957,1.9523,-7.2981,1.1926,1.6962,4.881,1.666,-3.5585,1.8677,1.0511,-2.9876,-0.348,3.4961,3.0405,1.3431,-8.4087,-2.5874,-1.6134,1.5395,-3.3692,-6.3064,5.7358,1.1821,-0.2079,-1.5913,-3.4496,1.5591,2.2969,3.9495,-0.8603,5.2886,-2.7273
AMGN    US Equity,0.8566,4.3854,2.9142,-1.768,1.3755,-2.7714,0.6235,-0.0738,0,0.4134,-0.9263,-1.0686,1.9652,0.0736,-3.5725,4.3909,4.6298,-2.6103,1.4476,-2.3029,-0.1446,-1.8827,1.6531,3.5139,1.6412,0.621,1.2893,4.2112,1.0525,7.9079,-2.0377,0.6325,0.7857,1.4512,-0.7921,0.0477,-3.0967,0.8235,2.7551,3.1439,-3.3816,3.7619,0.5392,-1.3466,-1.4806,-0.7397,3.6196,1.3699,-0.5405,0.9964,-2.287,-2.2028,4.3876,-2.2702,-5.6118,1.6326,3.4524,0.5446,-3.6418,3.8393,6.6344,0.4537,-1.2817,5.176,6.162,1.4925,7.2376,-0.1703,-2.6935,-1.7531,0.2254,-1.0214,0.2651,-5.0798,-1.7109,-1.4067,0.8848,0.3846,-1.0339,6.7902,4.9103,0.192,-0.4927,0.5226,-4.3054,0.6577,3.1629,1.9001,3.6483,1.5574,-3.1339,-0.2474,-1.789,3.6324,1.22,2.0358,-4.6155,1.5635,-1.6959,0.929,0.0351,-1.7175,1.6673,0.9559,-0.5646,3.075,0.9831,0.1175,-0.285,-0.042,4.1548,0.0081,0.1373,-1.4191,0.229,0.3183,-1.9361,-1.1945,-6.0196,3.1445,-3.5077,0.9066,-0.8339,0.4104,2.1351,1.4519,1.5777,-1.5193,4.2575,-1.9674,3.5922,-2.5071,-1.2274,3.8377,2.2061,1.1151,4.6081,0.0151,4.939,-1.0762,0.0073,4.4383,-2.0485,-1.354,-1.2648,-2.6931,10.1503,10.1317,-1.19,-1.6037,3.2534,1.5355,2.3774,-2.783,3.4279,-3.9431,-2.184,-2.6018,1.7338,0.871,-4.7244,-0.5648,1.3738,2.7235,0.0381,-1.8007,-0.4003,10.2684,-4.415,-4.1269,4.8114,0.1224,2.647,-4.4965,1.2347,0.0123,0.7514,-4.4749,0.6336,-0.7186,2.9465,-1.6799,-3.0123,0.5481,5.9507,-2.8664,11.35,-2.4237,-2.6638,-7.4708,0.4511,-5.6899,4.2103,-1.7101,-8.0085,2.8441,4.9975,2.0189,2.0575,1.5602,1.4414,-5.5528,5.5163,2.2575,-1.2781,-3.8902,2.3526,2.9912,-0.7459,-7.1613,0.3948,3.1593,-2.1463,-5.035,-0.2206,3.7313,-1.6787,-1.0976,-0.9659,0.6502,2.5634,3.2967,1.492,2.3456,1.9109,-2.9965
REGN    US Equity,18.6902,19.9574,-0.7476,9.2046,13.2336,5.3892,1.1755,-0.0581,5.4059,-1.4614,7.5739,3.3382,-2.148,5.8481,-0.6805,3.0832,10.7849,-6.1496,2.0472,-10.3363,9.931,-6.2344,4.5913,-12.1663,1.8006,-1.4495,4.6577,-1.5894,3.4087,12.536,0.0438,-0.0876,0.8916,5.092,2.0401,3.0395,-1.8814,-3.0665,5.2175,4.153,-5.2013,4.9824,-5.6812,-3.8526,-1.9233,12.0435,11.6621,0.2669,2.4469,-0.6413,-3.4667,-3.1762,7.799,-0.8892,-6.4025,3.8757,-0.917,-4.0491,-0.5727,-2.7587,7.0769,0.7221,-0.6533,0.3259,2.3219,5.1059,16.4123,-1.5104,1.8911,22.8809,2.7577,-2.3876,-6.2404,-3.3678,6.4577,-7.9883,-9.0575,4.3672,3.8243,13.9284,3.3308,-2.0556,1.1812,-8.2162,-7.6117,3.4072,1.4486,10.4247,8.3709,3.7356,1.6124,0.9652,-5.93,4.5677,-0.4348,-5.4427,-0.9517,-1.0845,4.8857,0.0613,-3.7841,-4.6509,3.3755,-0.5921,-1.9095,0.9678,6.4218,-4.2432,3.2116,3.8809,8.0723,3.3921,-0.7403,-1.3203,0.4236,-5.6783,-3.4428,-4.9152,1.0584,2.9061,-4.1518,3.2241,-4.8299,5.7335,0.7921,3.0863,1.3845,-1.5874,-6.8632,-2.7905,12.2146,1.5908,-3.2236,-0.9251,7.0012,4.3199,3.0445,-2.246,2.8361,0.0585,-1.3118,3.7161,-0.2062,0.9548,-5.0028,7.6068,8.8897,-2.1814,-4.0333,4.5945,2.543,2.6798,1.7111,-1.6043,2.6895,-3.3112,-0.8029,0.2146,-0.5717,2.8188,-0.8448,-2.352,-1.0962,5.3131,-2.3456,2.0032,1.7175,13.8549,-7.0305,-3.571,5.2753,-3.0061,7.2779,-1.8601,2.15,1.604,5.0858,-0.2569,5.2365,-8.7338,6.0919,-0.3159,-1.8343,2.9213,4.9372,-1.8352,2.1796,4.584,-0.4732,-8.5233,1.8058,-6.8399,6.6621,3.1989,-10.8456,-2.3641,5.1871,2.1174,4.2966,3.855,0.8271,-2.331,5.5875,-2.8418,-0.7885,-4.3228,1.8185,-1.2127,0.9746,-9.4295,-5.8432,4.3288,-13.023,-5.5893,-4.4376,4.2136,-0.1899,2.4326,-6.6119,-3.3438,1.7256,9.2907,-0.0765,0.442,-0.5778,-6.8426
INCY    US Equity,8.5943,3.4969,2.4303,3.7037,-1.4509,-3.9638,3.5967,-3.5857,3.5124,-2.1386,5.3613,9.5133,-2.5253,1.5026,-9.903,10.085,18.0648,-2.4412,4.2895,-6.8123,3.0345,-8.4337,11.0136,-0.5707,3.0464,-2.7421,11.5419,0.5924,-3.6121,4.277,-27.8125,-1.461,4.0088,5.8078,-0.1497,-8.3958,-2.455,11.5772,-9.5238,1.7175,-8.7691,2.806,-6.0395,5.3175,-1.1172,0.5935,7.9646,-3.8251,1.4773,-10.1904,1.9327,-1.7125,7.5296,5.3241,5.3846,-2.5026,-1.3904,-0.6508,20.0873,-4.3636,6.749,4.764,5.5674,-9.1385,3.7218,-8.7142,2.5737,-1.0036,3.6866,-1.1556,4.7212,-1.0734,-0.1736,-3.6087,-3.4732,-1.0748,-9.9197,15.3644,7.6818,0.1688,-2.6127,0.9952,14.9957,1.6766,-2.2719,30.3337,-2.5029,5.1048,2.1645,-2.0087,5.3561,6.7607,-7.629,2.6721,6.7035,-0.4681,-7.0297,26.4909,2.1259,-3.9571,-0.0215,4.9367,5.0112,-3.1749,4.5866,15.3491,3.1683,3.3457,2.4711,0.5647,-2.6104,1.2623,-1.108,0.1556,-4.5681,-3.2725,-15.9401,1.1213,-8.4158,-3.6973,1.9533,13.6534,0.9107,-4.7809,-5.0416,5.224,5.2674,3.1633,4.7946,-1.5428,0.1801,-8.621,-6.8372,-0.1056,-0.7822,1.5981,7.7181,-1.3824,7.0089,-4.3727,-6.0004,1.2315,0.7705,-4.668,-2.7016,8.6334,9.9641,21.7723,3.3701,0.3174,3.9258,4.5385,-0.4633,-0.7247,2.9536,-3.8642,-0.1759,-2.3454,3.2625,7.4213,-0.2378,-5.4698,0.783,8.6252,4.0732,4.834,-0.7667,6.9869,-1.2454,-5.9029,5.6538,8.368,5.5873,-8.4405,5.6471,2.9182,0.7767,2.2843,-1.0985,-3.1669,2.1613,-3.4518,1.4704,2.6047,8.0402,-7.2625,-3.9248,-2.1864,3.7255,-1.4083,14.9746,-3.377,13.0566,-3.8776,-15.3339,18.6081,-16.9698,2.6476,2.0783,6.826,-14.7367,7.135,5.3744,3.1999,-6.5439,-2.3921,6.3192,-3.8064,-0.4315,-12.6049,-18.812,3.1839,-11.1335,0.6236,-3.7183,6.3487,2.2558,-3.1612,-1.528,-8.2099,7.2076,5.0745,5.6889,0.4002,-1.2985,-5.8617
ILMN    US Equity,4.2323,12.4016,1.6522,42.3829,0.2999,3.9545,-3.8412,-1.1579,0.2538,-2.3953,-0.3791,1.0615,4.2608,-0.5322,-9.8605,-5.9572,0.2705,0.9892,-0.5788,-4.0528,2.3104,-4.4024,-5.655,0.6829,1.9216,-0.4559,-0.4704,0.7214,5.4828,-0.96,-0.4019,3.4892,-6.5596,2.2091,1.0567,7.8184,5.3339,1.4438,-0.5982,7.4704,-1.2165,-8.7568,2.6778,0,1.8777,1.2288,7.0807,1.4736,-3.9657,-0.6979,10.0937,-2.9083,0.0183,-3.7984,-3.1321,2.0184,-1.0757,-1.2039,-4.2256,0.6156,6.5062,2.9682,-2.7711,1.3389,1.8875,0.8336,6.2649,-3.0256,11.6242,3.6735,7.8108,2.8865,-2.3472,0.0142,-0.4693,-2.8576,2.8534,7.0213,0.5879,-0.5048,-0.7877,9.5949,-5.1081,1.8504,-2.1268,2.9519,-1.8535,1.6701,6.836,-4.2697,0.0865,0.2222,-0.234,0.5309,14.5647,2.5983,0.351,-2.6236,6.7358,-1.8331,1.2755,3.204,2.4309,5.204,-1.6036,7.421,16.8595,1.6723,9.6523,3.2237,4.7355,5.9149,-1.4708,-1.831,-2.1562,-7.3579,-6.9332,-2.4292,-2.4031,0.1553,3.1451,-0.3937,2.9966,0.4814,10.5402,-0.5967,6.7615,0.9352,2.633,-1.3256,5.883,-3.4015,-1.4663,-1.7351,-5.9405,4.0903,0.6689,2.0348,4.2791,-0.3401,-3.3566,-0.2836,-3.9591,-1.2996,-5.7383,7.1401,14.6807,1.8295,-3.235,-3.1393,2.9529,2.7229,-0.5186,-2.9489,3.0765,-0.9317,-1.4772,5.0588,-5.6366,7.2571,-0.9992,-1.3064,3.0627,2.3144,-3.7783,-1.1869,-2.5526,4.1496,-4.5148,-2.2226,2.8141,1.5944,-0.8213,0.865,2.395,1.6649,2.9789,0.5268,2.0041,2.4071,1.31,-0.0138,0.9218,-0.2817,9.255,-7.7828,-0.8141,-4.0128,-1.1544,-3.9025,0.8752,-4.234,6.8596,1.1966,-15.9613,-6.7962,-9.6816,1.658,-1.8573,-2.8149,8.7661,6.2949,5.246,6.4357,-3.6269,-2.2424,4.0728,3.8804,1.5582,-13.9493,3.6205,3.2486,-10.6163,-13.8651,4.9026,6.0188,2.6436,0.5344,1.5691,-5.2651,3.3946,7.416,0.899,3.1361,-17.3059,-5.9893
MYL     US Equity,0.0466,1.1178,-0.6909,-2.4119,6.654,1.6043,2.7193,0.2562,-1.3629,-0.8204,-0.3483,0.3932,2.0453,-3.6674,-2.3019,-1.0421,1.0989,-4.8913,2.4762,-3.2946,3.9354,-3.0051,2.7169,-1.6241,0.1415,0.6594,1.0295,2.1769,1.0879,4.3274,-0.5803,1.4267,0.7246,0.6771,-0.9248,2.0789,0.9975,1.0288,-0.7263,1.0599,-3.4511,-0.5551,6.6475,1.8239,0.7399,-1.2722,6.1436,0.2582,0.2943,2.6045,-0.572,-3.2003,4.7548,-1.2766,0.5747,1.6429,1.5109,-0.1038,1.2474,-0.8214,3.8647,2.093,-0.8493,-2.13,-2.9007,-1.1224,0.1746,-1.1855,3.4227,-1.3988,2.5952,5.9022,-0.7166,-2.2294,0.3281,3.5971,-3.3302,1.3224,-0.6123,4.0532,1.8074,2.3263,8.8842,2.1703,-2.6889,-1.1053,-1.2573,-0.1415,10.2862,-0.668,-0.8795,5.0365,-0.8447,-3.4077,-0.3113,-1.0929,6.3141,4.8255,0.7318,3.4216,0.0227,-5.3466,1.7472,0.6351,-0.1403,7.6077,-0.4786,-3.1475,2.4825,-0.7267,2.2626,12.6247,7.03,-1.2777,-4.0649,-0.931,-6.3483,3.6863,-9.6978,2.6247,11.0401,-4.3762,-7.3866,1.7772,2.2572,3.7901,-0.2207,0.9451,1.8327,0.7629,0.5436,-3.0701,3.3865,-0.3083,-4.8512,-6.8657,1.3086,3.789,0.809,-3.3333,0.1703,0.6375,-2.2593,8.5116,-1.7519,0.2229,3.5584,4.549,-0.8217,1.7699,3.2192,5.0547,-0.3412,-8.7143,7.8582,0.1565,-2.1701,-0.9051,0.2865,-3.1964,-1.9554,1.3923,3.637,3.6168,-0.9418,-3.2883,7.7922,5.5221,-2.2677,-5.7358,20.9054,-0.6051,8.9451,-2.853,-3.4917,-0.8975,-1.4292,4.2636,2.079,-0.5935,-2.8223,-3.5744,1.5349,1.5687,-3.8613,-3.695,-15.0895,0.643,-3.5315,-5.2612,-2.1942,-4.6059,1.2487,1.9322,-12.0589,0.1147,-2.5424,2.3502,-5.9472,7.6416,1.9732,8.4964,6.3346,-0.2506,-0.6378,2.2369,1.1606,3.1033,-1.3681,-8.6,0.5868,6.8397,-0.7908,-2.4673,-18.6126,8.4041,3.97,-5.0064,8.5306,-7.3045,1.8424,3.531,-1.0526,-0.234,2.9857,-13.626
VRTX    US Equity,2.5294,8.1057,-1.3583,-0.9088,2.2235,-1.7673,8.6078,-2.1662,6.0953,2.6025,2.7519,-3.7261,-0.7983,-2.3409,-9.6879,1.1335,5.5768,-3.1331,65.7845,-1.0964,5.7222,-8.1573,-4.3318,-0.7722,7.1984,-7.738,-2.2532,-2.0307,-4.2577,-3.8034,0.0406,4.7021,6.0395,-2.2271,-0.4294,7.0692,1.7163,1.6529,-5.3354,6.316,-9.9125,-6.1461,-1.3535,-9.181,0.0003,-8.4204,0.5822,-4.028,-2.287,7.4846,2.9911,-4.8792,11.9932,3.1843,-2.1137,1.1661,-3.0096,1.2324,-0.8478,0.6578,0.5663,14.3816,-0.9468,2.7337,2.2888,-3.1654,4.7154,53.5701,-7.6869,-3.8345,5.8429,-1.1687,-1.3712,2.4617,3.0873,-3.019,-5.3941,5.3726,2.9603,6.5025,0.8201,-8.8126,-1.5735,-2.8827,-0.8347,1.6652,-3.3813,5.1098,-0.9368,-2.6837,-0.0683,1.4613,-8.1466,8.6576,-0.2985,-12.3259,-9.3527,3.8159,4.5591,4.7375,-4.2783,-1.9112,10.2025,2.2553,0,6.4806,4.961,-2.8262,-0.9151,2.9985,0.2457,3.9211,-4.6575,-1.1378,-2.0265,-5.7329,-8.1674,-2.8909,-4.2224,1.7602,0.0312,3.3962,-1.9889,-0.0307,9.2419,1.7173,1.7022,0,-11.607,44.3504,5.3642,0.2733,-1.8876,-1.4918,-8.5849,-1.2681,5.1608,-0.7262,3.7131,1.571,-2.157,11.5711,9.494,-4.4102,-3.5547,-2.2725,7.3864,2.4839,2.9208,-3.9593,0.0539,5.8169,0.0594,0.5087,0.2952,-0.4121,3.9355,-0.6988,0.5319,2.2058,-12.288,-1.3437,4.6015,4.3551,0.6913,5.7858,-1.8521,5.6452,-8.1374,-2.5843,9.588,-2.6465,6.5004,-5.7057,1.4411,-0.9418,-0.8953,2.5664,-0.7327,-2.3479,2.9592,-0.9138,3.4602,-6.3309,9.1257,-6.462,7.5697,2.0296,-0.6244,-8.3358,6.8383,-5.2667,5.5674,-7.3848,-16.817,11.5221,-4.4973,3.9273,0.0437,9.0671,-5.4353,4.315,6.0951,1.9226,-5.9297,-6.0158,-0.9606,7.1496,0.793,-12.0162,-11.5617,-3.2683,-4.1812,-4.562,-3.9026,5.8272,-1.2262,1.5632,-2.3766,-4.3357,-2.3509,-1.7746,7.7069,-4.1056,6.1774,-2.8341
ALXN    US Equity,4.1259,0.2283,-1.3937,2.4735,4.6088,5.794,-2.9301,4.4815,0.7444,-0.6216,5.0513,5.4039,-1.0232,0.8723,-4.9642,3.078,-1.3078,-3.6219,-1.1343,-2.3525,9.6843,-5.2153,5.5137,0.9521,2.8293,3.4914,1.9637,-3.8519,2.0544,9.6829,-1.8445,-3.3096,-1.0733,4.33,0.4403,3.1713,-0.1266,3.3855,0.1664,3.278,-5.8908,-3.2107,-11.4849,-6.477,1.9194,0.1211,4.18,1.3832,-4.7074,2.0765,0.5139,-1.6191,5.6951,2.8375,-2.9585,-2.8126,3.3692,-4.3016,-8.1678,1.6626,-0.7662,4.9441,2.8553,-0.1922,-1.4335,7.6623,0.9073,-7.4925,7.2786,-1.1778,6.0813,-1.1907,-3.6249,-1.6033,-3.2794,-2.2886,-4.0425,4.2354,4.5642,18.4655,-1.8292,0.2942,4.2489,-2.72,-7.9674,0.4381,2.1809,3.5264,2.3127,-0.4293,2.4373,0.0172,-6.5527,-0.3492,15.4385,-1.4476,-4.8055,5.6544,-1.0317,1.3926,0.7631,-1.4029,5.6189,0.7119,0.114,2.6496,3.3282,-4.3447,18.7743,3.087,10.3404,0.5372,-2.6003,-4.9491,4.3023,-8.8373,-6.4898,-4.6312,-2.0281,7.2989,2.263,1.2599,-1.4505,3.31,2.767,2.4769,2.3329,-3.8014,1.0566,-4.7504,4.1942,-0.609,-1.2009,3.5907,-4.7414,-0.0063,7.6614,-1.798,0.6361,-2.3569,-1.5608,-0.7866,3.8466,6.1616,-5.7197,-1.8176,15.5023,0.5623,1.2803,-2.6056,1.1973,2.0312,1.9035,-5.896,1.4072,-1.079,-0.472,-1.2487,-2.0785,1.5961,-0.0436,-4.153,3.7921,2.0462,-3.0373,0.7097,-2.6204,6.1168,-3.7931,-5.8973,7.4968,-0.7335,-0.6948,-4.2092,-5.4957,-1.509,7.0877,-4.7109,-2.1851,5.4786,9.0866,0.0271,0.4175,3.9467,6.1133,-1.6202,-1.7663,-3.9607,-1.6032,-6.8442,2.9055,-3.8466,-0.0291,-3.1117,-10.4034,11.2697,-3.0048,-0.2235,6.4958,2.8278,-2.1875,-3.3169,4.2958,5.1097,-3.672,6.9982,-3.1532,3.9971,0.7075,-11.8585,-5.6207,0.2962,-8.3066,-2.5012,-0.8223,3.3874,-3.9276,3.0679,-3.5927,-7.7691,3.6902,7.3204,4.1626,2.8209,3.9258,-12.4576
